#,Name,difficulty,link,number,class
1776A,Walking Boy greedy,800.0,https://codeforces.com/problemset/problem/1776/A,1776,A
1775F,"Laboratory on Pluto constructive algorithms,  dp,  greedy,  math",2500.0,https://codeforces.com/problemset/problem/1775/F,1775,F
1775E,"The Human Equation greedy,  implementation",2100.0,https://codeforces.com/problemset/problem/1775/E,1775,E
1775D,"Friendly Spiders dfs and similar,  graphs,  math,  number theory,  shortest paths",1800.0,https://codeforces.com/problemset/problem/1775/D,1775,D
1775C,"Interesting Sequence bitmasks,  math",1600.0,https://codeforces.com/problemset/problem/1775/C,1775,C
1775B,"Gardener and the Array bitmasks,  constructive algorithms",1300.0,https://codeforces.com/problemset/problem/1775/B,1775,B
1775A2,"Gardener and the Capybaras (hard version) constructive algorithms,  greedy",900.0,https://codeforces.com/problemset/problem/1775/A2,1775,A2
1775A1,"Gardener and the Capybaras (easy version) brute force,  constructive algorithms,  implementation",800.0,https://codeforces.com/problemset/problem/1775/A1,1775,A1
1774H,Maximum Permutation constructive algorithms,3500.0,https://codeforces.com/problemset/problem/1774/H,1774,H
1774G,"Segment Covering brute force,  combinatorics,  constructive algorithms,  data structures,  dp,  trees",3200.0,https://codeforces.com/problemset/problem/1774/G,1774,G
1774F2,"Magician and Pigs (Hard Version) binary search,  brute force,  data structures,  implementation",2700.0,https://codeforces.com/problemset/problem/1774/F2,1774,F2
1774F1,"Magician and Pigs (Easy Version) brute force,  data structures,  implementation",2400.0,https://codeforces.com/problemset/problem/1774/F1,1774,F1
1774E,"Two Chess Pieces dfs and similar,  dp,  greedy,  trees",1900.0,https://codeforces.com/problemset/problem/1774/E,1774,E
1774D,"Same Count One brute force,  constructive algorithms,  greedy,  implementation,  two pointers",1600.0,https://codeforces.com/problemset/problem/1774/D,1774,D
1774C,"Ice and Fire constructive algorithms,  dp,  greedy",1300.0,https://codeforces.com/problemset/problem/1774/C,1774,C
1774B,"Coloring constructive algorithms,  greedy,  math",1500.0,https://codeforces.com/problemset/problem/1774/B,1774,B
1774A,"Add Plus Minus Sign constructive algorithms,  math",800.0,https://codeforces.com/problemset/problem/1774/A,1774,A
1773L,Lisa's Sequences dp,3500.0,https://codeforces.com/problemset/problem/1773/L,1773,L
1773K,King's Puzzle constructive algorithms,1900.0,https://codeforces.com/problemset/problem/1773/K,1773,K
1773J,"Jumbled Trees constructive algorithms,  math",2900.0,https://codeforces.com/problemset/problem/1773/J,1773,J
1773I,"Interactive Factorial Guessing brute force,  games,  implementation,  interactive",2500.0,https://codeforces.com/problemset/problem/1773/I,1773,I
1773H,"Hot and Cold binary search,  interactive",2600.0,https://codeforces.com/problemset/problem/1773/H,1773,H
1773G,"Game of Questions bitmasks,  combinatorics,  dp,  fft,  math,  probabilities",2800.0,https://codeforces.com/problemset/problem/1773/G,1773,G
1773F,Football constructive algorithms,800.0,https://codeforces.com/problemset/problem/1773/F,1773,F
1773E,"Easy Assembly greedy,  sortings",1400.0,https://codeforces.com/problemset/problem/1773/E,1773,E
1773D,"Dominoes combinatorics,  flows,  graph matchings,  greedy",2600.0,https://codeforces.com/problemset/problem/1773/D,1773,D
1773C,Cactus Meets Torus,3500.0,https://codeforces.com/problemset/problem/1773/C,1773,C
1773B,"BinCoin binary search,  divide and conquer,  hashing,  implementation,  probabilities,  trees",2200.0,https://codeforces.com/problemset/problem/1773/B,1773,B
1773A,"Amazing Trick constructive algorithms,  graph matchings,  math,  probabilities",1900.0,https://codeforces.com/problemset/problem/1773/A,1773,A
1772G,"Gaining Rating binary search,  greedy,  implementation,  math,  sortings,  two pointers",2200.0,https://codeforces.com/problemset/problem/1772/G,1772,G
1772F,"Copy of a Copy of a Copy constructive algorithms,  dfs and similar,  graphs,  implementation,  sortings",2000.0,https://codeforces.com/problemset/problem/1772/F,1772,F
1772E,Permutation Game games,1700.0,https://codeforces.com/problemset/problem/1772/E,1772,E
1772D,"Absolute Sorting constructive algorithms,  math",1400.0,https://codeforces.com/problemset/problem/1772/D,1772,D
1772C,"Different Differences constructive algorithms,  greedy,  math",1000.0,https://codeforces.com/problemset/problem/1772/C,1772,C
1772B,"Matrix Rotation brute force,  implementation",800.0,https://codeforces.com/problemset/problem/1772/B,1772,B
1772A,A+B? implementation,800.0,https://codeforces.com/problemset/problem/1772/A,1772,A
1771F,"Hossam and Range Minimum Query binary search,  bitmasks,  data structures,  hashing,  probabilities,  strings,  trees",2500.0,https://codeforces.com/problemset/problem/1771/F,1771,F
1771E,"Hossam and a Letter brute force,  dp,  implementation,  two pointers",2500.0,https://codeforces.com/problemset/problem/1771/E,1771,E
1771D,"Hossam and (sub-)palindromic tree brute force,  data structures,  dfs and similar,  dp,  strings,  trees",2100.0,https://codeforces.com/problemset/problem/1771/D,1771,D
1771C,"Hossam and Trainees greedy,  math,  number theory",1600.0,https://codeforces.com/problemset/problem/1771/C,1771,C
1771B,"Hossam and Friends binary search,  constructive algorithms,  dp,  two pointers",1400.0,https://codeforces.com/problemset/problem/1771/B,1771,B
1771A,"Hossam and Combinatorics combinatorics,  math,  sortings",900.0,https://codeforces.com/problemset/problem/1771/A,1771,A
1770H,"Koxia, Mahiru and Winter Festival constructive algorithms",3500.0,https://codeforces.com/problemset/problem/1770/H,1770,H
1770G,"Koxia and Bracket divide and conquer,  fft,  math",3400.0,https://codeforces.com/problemset/problem/1770/G,1770,G
